"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/CCGToolkit/Materials/UI/Icon_Parent_Mat.Icon_Parent_Mat","0","0","30","1","0.000000","0","0"
"/Game/CCGToolkit/CardGame/CardSets/Basic_Set/Materials/Card_Mat_Parent.Card_Mat_Parent","0","0","4","1","0.000000","0","0"
"/Game/CCGToolkit/Fonts/Lobster_Font_Mat.Lobster_Font_Mat","0","0","10","1","0.000000","0","0"
"/Game/CCGToolkit/Materials/Tile_Mat.Tile_Mat","0","0","48","1","0.000000","0","0"
"/Game/CCGToolkit/CardGame/CardSets/Basic_Set/Materials/CardFrame_Mat_Parent.CardFrame_Mat_Parent","0","0","48","1","0.000000","0","0"
"/Game/CCGToolkit/CardGame/CardSets/Basic_Set/Materials/3DCard_Nothing.3DCard_Nothing","0","0","48","1","0.000000","0","0"
"/Game/CCGToolkit/CardGame/PlayerTiles/PlayerUITiles/PlayerUI_Mat_Parent.PlayerUI_Mat_Parent","0","0","55","1","0.000000","0","0"
"/Game/Fonts/Viking/Viking_Font_Material.Viking_Font_Material","0","0","28","1","0.000000","0","0"
"/Game/CCGToolkit/Materials/Stripes_Mat.Stripes_Mat","0","0","24","1","0.000000","0","0"
"/Game/CCGToolkit/Materials/Red_Mat.Red_Mat","0","0","9","1","0.000000","0","0"
"/Game/CCGToolkit/Materials/Target_Mat.Target_Mat","0","0","24","1","0.000000","0","0"
"/Game/CCGToolkit/CardGame/CardSets/Basic_Set/Effects/CardShadow_Mat.CardShadow_Mat","0","0","8","1","0.000000","0","0"
"/Game/CCGToolkit/CardGame/CardSets/Basic_Set/Effects/Card_Shadow_Glow_Mat.Card_Shadow_Glow_Mat","0","0","24","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/CCGToolkit/Materials/Board_Mat.Board_Mat","0","0","21","1","0.000000","0","0"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","0","33","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Materials/Background.Background","0","0","21","1","0.000000","0","0"
